269 5.2376e-05 26 5 120 1 
261 1.52216e-05 178 5 120 1 
267 9.80395e-05 5 4 122 1 
263 6.71254e-06 67 5 119 1 
263 2.69263e-05 52 5 120 1 
273 2.19942e-05 161 4 120 1 
280 4.21469e-05 13 4 117 1 
279 3.26334e-05 139 5 115 1 
262 2.49479e-05 4 5 119 1 
261 1.52216e-05 178 5 120 1 
261 9.35187e-05 177 5 120 1 
266 0 17 4 123 1 
280 4.80999e-06 51 4 121 1 
283 3.26334e-05 545 4 112 1 
273 3.53329e-05 139 5 116 1 
261 1.5221e-05 27 5 120 1 
259 5.53899e-05 10 5 120 1 
267 3.25584e-05 548 4 123 1 
283 3.52524e-05 25 4 119 1 
284 6.7128e-06 104 5 113 1 
263 9.80776e-05 67 5 120 1 
259 9.80765e-05 1 5 120 1 
261 0.000118395 172 4 127 1 
263 2.19342e-05 227 4 123 1 
283 2.49479e-05 50 4 121 1 
287 1.24205e-05 129 4 117 1 
278 6.73302e-06 7 5 117 1 
262 2.68505e-05 4 5 119 1 
261 5.54661e-05 171 4 121 1 
269 2.19336e-05 206 4 126 1 
278 3.52524e-05 65 4 121 1 
291 4.84773e-06 138 4 116 1 
262 6.61209e-05 20 5 124 1 
252 0.00010619 53 5 125 1 
252 0.000136093 45 5 124 1 
255 0.000326394 46 5 119 1 
251 6.6592e-05 235 4 116 1 
262 8.91474e-05 61 4 113 1 
264 0.000287871 540 1 111 1 
281 9.80395e-05 109 4 117 1 
302 4.21469e-05 108 4 120 1 
300 0.000168004 134 4 116 1 
283 0 19 5 113 1 
257 0.000107553 544 5 124 1 
246 0.000234786 34 5 124 1 
254 7.56341e-05 46 5 120 1 
258 0.000188564 21 5 120 1 
262 0 174 4 125 1 
266 5.70789e-06 29 4 127 1 
276 3.25586e-05 133 4 122 1 
284 5.86246e-05 65 4 120 1 
281 0 18 4 122 1 
264 4.80981e-06 179 5 120 1 
261 9.13275e-05 32 5 124 1 
252 0.000158924 146 5 126 1 
240 2.50236e-05 95 5 119 1 
224 4.56631e-05 77 4 118 1 
252 3.53705e-05 58 4 118 1 
254 4.5664e-05 231 4 119 1 
257 0.000371015 116 4 115 1 
260 0.000247816 166 4 116 1 
264 0.000158925 71 4 116 1 
258 2.68505e-05 115 4 123 1 
281 0.00010565 24 4 122 1 
300 3.2634e-05 40 4 121 1 
285 6.62346e-05 129 4 120 1 
272 2.86201e-05 6 4 118 1 
268 5.70789e-06 180 5 120 1 
259 1.24582e-05 10 5 120 1 
262 4.21475e-05 174 4 122 1 
260 6.04136e-05 172 4 119 1 
265 2.85402e-05 169 4 117 1 
268 6.05273e-05 226 4 125 1 
261 1.24586e-05 20 5 119 1 
250 4.80981e-06 54 5 125 1 
228 7.57483e-05 190 5 121 1 
217 0.000152392 75 5 120 1 
231 0.000335155 203 4 118 1 
258 9.13275e-05 119 4 119 1 
262 5.55468e-05 174 4 122 1 
260 1.5221e-05 229 4 127 1 
261 4.84773e-06 115 4 124 1 
270 9.36389e-05 175 4 122 1 
275 6.71262e-06 49 4 122 1 
285 6.62346e-05 129 4 120 1 
292 2.68506e-05 103 5 112 1 
301 7.56341e-05 135 5 110 1 
290 0.000298929 1786 5 119 1 
240 8.89525e-05 182 5 116 1 
218 0.00011326 154 5 116 1 
210 4.20715e-05 89 5 116 1 
214 4.21466e-05 187 5 118 1 
195 0 151 5 122 1 
191 6.05267e-05 191 5 121 1 
236 6.05267e-05 55 5 121 1 
245 0.000550078 35 5 118 1 
252 0.00012674 204 4 117 1 
256 4.80999e-06 59 4 114 1 
259 4.80999e-06 205 4 127 1 
308 2.68505e-05 108 4 120 1 
310 7.56346e-05 210 4 119 1 
341 6.62353e-05 158 4 117 1 
325 0.00015174 105 4 110 1 
294 3.26342e-05 86 5 110 1 
286 5.2376e-05 86 5 110 1 
360 0.000288953 156 4 114 1 
357 4.84773e-06 105 4 114 1 
357 4.84773e-06 105 4 114 1 
314 8.89534e-05 541 4 120 1 
291 0.000166101 212 4 117 1 
291 0.000166101 212 4 117 1 
283 0.000196544 220 4 117 1 
283 0.000153217 220 4 116 1 
269 6.05469e-05 222 4 114 1 
265 4.56636e-05 222 4 113 1 
262 3.26338e-05 127 4 124 1 
261 1.5221e-05 172 4 122 1 
257 2.85394e-05 205 4 125 1 
257 9.13275e-05 205 4 124 1 
259 2.19714e-05 120 4 120 1 
261 5.5546e-05 171 4 120 1 
266 4.21469e-05 548 4 127 1 
271 0 137 4 124 1 
296 2.19339e-05 41 4 117 1 
294 7.5748e-05 41 4 112 1 
271 2.20319e-05 7 5 119 1 
263 2.19338e-05 52 5 119 1 
266 9.34436e-05 29 4 125 1 
270 0.000168194 175 4 115 1 
293 6.71262e-06 123 4 118 1 
269 5.70789e-06 26 5 119 1 
261 5.70789e-06 20 5 120 1 
261 0.000151854 48 4 127 1 
279 5.70789e-06 63 4 122 1 
301 7.33052e-05 160 4 118 1 
307 0.000379632 1787 5 110 1 
268 6.7128e-06 0 5 120 1 
272 2.19942e-05 176 4 124 1 
292 6.71262e-06 124 4 114 1 
280 1.24209e-05 42 5 113 1 
269 5.70789e-06 26 5 119 1 
287 0 31 4 116 1 
281 6.71244e-06 181 5 116 1 
261 2.19723e-05 20 5 120 1 
279 3.26334e-05 139 5 115 1 
255 1.24203e-05 43 5 121 1 
