45 -0.000782084 58 2 
40 0.0157361 54 2 
58 0.000258109 5 2 
52 0.015524 7 2 
22 0.0419776 8 2 
59 0.00889566 56 2 
56 0.0112896 44 2 
56 0.00401632 2 2 
28 0.0080027 9 2 
36 0.0141643 35 2 
36 0.0116362 135 2 
52 0.0335393 7 2 
57 -0.00192546 29 2 
59 0.00926168 56 2 
58 0.0180557 56 2 
54 -0.00102283 47 2 
38 0.0753115 52 2 
38 0.00316184 58 2 
46 0.00672513 11 2 
61 0.0273233 199 2 
59 0.012755 56 2 
54 0.00122324 67 2 
16 0.0178804 25 2 
12 0.0654972 59 2 
44 8.05166e-05 49 2 
21 0.0086451 4 2 
55 0.0105278 14 2 
49 0.00428267 42 2 
52 0.0128231 67 2 
59 0.0133322 19 2 
33 0.0361967 45 2 
50 -0.00197555 138 2 
55 0.0103648 53 2 
51 -0.000922821 11 2 
50 0.0277636 44 2 
39 0.020323 37 2 
37 0.00192248 35 2 
41 0.0290256 79 2 
54 -0.0018057 47 2 
16 0.073306 140 2 
46 -0.00101266 42 2 
49 0.00799783 42 2 
51 -8.38936e-05 3 2 
37 0.04108 135 2 
58 0.0522578 20 2 
47 0.00405353 33 2 
43 0.0036202 24 2 
56 0.00848039 20 2 
56 0.00601902 44 2 
46 0.00805748 34 2 
55 0.00327575 53 2 
24 0.0094778 132 2 
44 0.0543814 53 2 
57 0.0082984 13 2 
50 0.0353627 55 2 
57 0.00869723 44 2 
62 0.28432 199 2 
29 0.0195329 1 2 
46 0.0105476 34 2 
26 0.0442347 179 2 
29 0.0443674 165 2 
8 0.04726 146 2 
58 0.012641 69 2 
56 0.000472277 29 2 
20 0.040716 59 2 
44 -0.00225797 40 2 
40 0.00537015 18 2 
57 -0.000694928 5 2 
35 0.00309235 66 2 
62 0.000610174 199 2 
50 0.242609 138 2 
33 0.0206651 139 2 
31 0.002823 75 2 
42 0.037669 111 1 
41 0.0154237 136 2 
34 0.0440616 70 2 
50 0.296974 138 2 
14 0.145961 82 1 
26 0.0539203 102 1 
44 0.023288 70 2 
23 0.03751 51 2 
22 0.00141556 78 1 
25 0.0917928 78 1 
21 0.018903 128 1 
42 0.00815277 111 1 
44 0.00570167 110 1 
31 0.0113778 115 1 
42 0.0287436 111 1 
8 0.0283693 114 1 
11 0.00108156 77 1 
29 0.0425815 119 1 
42 0.00164692 111 1 
42 0.0115426 111 1 
12 0.0460309 81 1 
43 0.0319234 121 2 
39 6.02845e-05 74 2 
42 0.0374188 111 1 
37 0.01112 105 1 
43 0.00741741 110 1 
32 0.00324904 97 1 
31 0.00246879 71 2 
35 0.0404572 127 1 
37 0.00837349 87 1 
42 0.00728931 111 1 
41 0.00499529 106 1 
42 -0.000242941 85 1 
43 0.00123486 131 1 
47 0.0210631 76 2 
31 0.00713533 119 1 
22 0.0207816 99 1 
47 0.00752419 127 1 
45 0.0219524 123 1 
35 0.0244814 104 1 
9 0.0360004 93 1 
9 -0.000806938 89 1 
35 0.00422142 97 1 
44 0.0311721 111 1 
42 0.000585942 111 1 
41 -0.000433 117 1 
34 0.0475232 73 1 
12 0.0293137 82 1 
47 0.0320778 70 2 
42 0.0371716 138 2 
48 0.0517064 127 1 
51 0.0106445 137 2 
41 0.00379722 87 1 
43 0.00869539 116 1 
49 0.00508498 130 1 
29 0.0359426 86 1 
32 0.0285276 75 2 
50 0.410023 138 1 
45 -0.000897932 123 1 
30 0.0182699 43 2 
31 0.00172322 71 2 
22 0.0352284 132 2 
41 0.00301371 52 2 
44 0.0131501 70 2 
54 0.0211261 6 2 
52 0.0297683 137 2 
38 -0.00166874 95 2 
28 0.0178401 142 2 
10 0.112756 184 2 
33 0.0284426 200 2 
60 0.0174781 186 2 
62 0.00365827 167 2 
38 0.0180965 176 2 
23 0.00320838 60 2 
63 0.00128093 186 2 
59 0.00150855 19 2 
43 0.00282594 155 2 
58 0.00605565 157 2 
29 0.0771496 209 2 
59 -0.0020258 143 2 
52 0.00394275 187 2 
51 0.0015428 191 2 
49 0.00396179 175 2 
53 0.00116065 187 2 
61 0.0045547 162 2 
60 0.00626614 144 2 
59 0.0104654 162 2 
64 0.00361575 204 2 
59 -0.00255413 158 2 
63 0.0175861 186 2 
56 0.00105808 166 2 
35 0.00777085 145 2 
34 0.025002 179 2 
63 0.0503013 204 2 
63 0.0195304 160 2 
54 0.00618435 206 2 
44 0.00738133 153 2 
21 -0.000323192 171 2 
24 0.0247187 164 2 
58 -0.00179095 161 2 
52 0.02022 159 2 
54 0.000943122 206 2 
51 0.00704414 177 2 
48 0.000339964 173 2 
52 7.90417e-06 180 2 
59 0.0128803 157 2 
40 0.022529 201 2 
54 0.0111549 206 2 
63 0.0129724 186 2 
59 0.000516666 157 2 
59 0.00960915 157 2 
28 0.00488751 142 2 
60 0.000588721 205 2 
65 0.124173 204 2 
57 0.00391245 185 2 
23 0.0226456 164 2 
39 0.0328043 193 2 
54 0.0100013 206 2 
55 0.00903988 187 2 
60 -0.00247049 194 2 
48 -0.000863276 155 2 
61 0.00839355 144 2 
63 0.0127078 186 2 
59 0.00304299 186 2 
53 0.0133004 143 2 
58 0.00343113 69 2 
64 0.00654745 204 2 
50 0.00712637 152 2 
51 0.0122089 62 2 
51 0.00108639 156 2 
5 0.140688 207 2 
71 1 2.14748e+09 2 
61 0.0219396 144 2 
55 0.0138307 172 2 
7 0.101491 141 2 
61 0.00836852 160 2 
48 0.0220439 150 2 
